carga,versao,threads,schedule,rep,tempo,checksum,loadavg
pequena,seq,1,static,1,0.190689,17073017104646724864,0.59
pequena,seq,1,static,2,0.189585,17073017104646724864,0.59
pequena,seq,1,static,3,0.187878,17073017104646724864,0.59
pequena,seq,1,static,4,0.188169,17073017104646724864,0.59
pequena,seq,1,static,5,0.190331,17073017104646724864,0.59
media,seq,1,static,1,2.153079,17187382406529706254,0.59
media,seq,1,static,2,2.142321,17187382406529706254,0.62
media,seq,1,static,3,2.162091,17187382406529706254,0.62
media,seq,1,static,4,2.673671,17187382406529706254,0.65
media,seq,1,static,5,2.159335,17187382406529706254,0.65
grande,seq,1,static,1,7.523906,14825089465781038537,0.71
grande,seq,1,static,2,7.523204,14825089465781038537,0.73
grande,seq,1,static,3,7.549683,14825089465781038537,0.85
grande,seq,1,static,4,7.505258,14825089465781038537,0.86
grande,seq,1,static,5,7.472490,14825089465781038537,0.89
pequena,omp,1,static,1,0.185328,17073017104646724864,0.89
pequena,omp,1,static,2,0.187616,17073017104646724864,0.89
pequena,omp,1,static,3,0.186233,17073017104646724864,0.89
pequena,omp,1,static,4,0.185546,17073017104646724864,0.89
pequena,omp,1,static,5,0.185026,17073017104646724864,0.89
pequena,omp,1,dynamic-64,1,0.187111,17073017104646724864,0.89
pequena,omp,1,dynamic-64,2,0.187195,17073017104646724864,0.89
pequena,omp,1,dynamic-64,3,0.188395,17073017104646724864,0.89
pequena,omp,1,dynamic-64,4,0.187272,17073017104646724864,0.89
pequena,omp,1,dynamic-64,5,0.186855,17073017104646724864,0.89
pequena,omp,1,guided,1,0.186319,17073017104646724864,0.89
pequena,omp,1,guided,2,0.185787,17073017104646724864,0.89
pequena,omp,1,guided,3,0.185354,17073017104646724864,0.90
pequena,omp,1,guided,4,0.184449,17073017104646724864,0.90
pequena,omp,1,guided,5,0.186336,17073017104646724864,0.90
pequena,omp,2,static,1,0.094514,17073017104646724864,0.90
pequena,omp,2,static,2,0.093209,17073017104646724864,0.90
pequena,omp,2,static,3,0.093087,17073017104646724864,0.90
pequena,omp,2,static,4,0.094669,17073017104646724864,0.90
pequena,omp,2,static,5,0.093540,17073017104646724864,0.90
pequena,omp,2,dynamic-64,1,0.099810,17073017104646724864,0.90
pequena,omp,2,dynamic-64,2,0.100124,17073017104646724864,0.90
